,Product_PO,SKU_PO,Quantity_PO,Cost_PO,Discounts($)_PO,Discounts(%)_PO,Global Discounts($)_PO,Tax(%)_PO,Total_PO,Notes_PO,Line #_INV,Whse Status_INV,Mac SKU #_INV,Cust Item #_INV,Description_INV,Qty Ord_INV,Qty Shipped_INV,Qty B/O_INV,List Price_INV,Discount %_INV,Net Price_INV,UOM_INV,Ext Price_INV,UPC/EAN_INV,Account #_INV,PO #_INV,Order #_INV,BO #_INV,Invoice #_INV,Box #_INV,Same QTY,Same PRICE
RS255500001,Simply Simmons Brush Set Everything 5 Brushes,38372019122,3.0,4.95,-,-,-,-,14.85,0.0,76.0,Shipped 05/15/2023,286044.0,0.0,SMPLY SIM EVRYTHNG SET 5PC,3.0,3.0,0.0,17.55,70.0,5.27,SE,15.81,U-038372019122,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.3199999999999994
RS255400005,Simply Simmons Brush Set Just Filberts 4 Brushes,38372019207,3.0,4.13,-,-,-,-,12.39,0.0,77.0,Shipped 05/15/2023,39094.0,0.0,SMPLY SIM JUST FILBERTS SET 4P,3.0,3.0,0.0,14.65,70.0,4.4,SE,13.2,U-038372019207,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.27000000000000046
SW8052,Stabilo All Colored Pencils (White),4.00638E+12,12.0,0.7,-,-,-,-,8.4,0.0,78.0,Shipped 05/15/2023,34347.0,0.0,ALL-STABILO PENCIL WHITE,12.0,12.0,0.0,1.9,60.0,0.76,PE,9.12,E-4006381328159,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.06000000000000005
SW70-126,Stabilo Boss Original Pastel Highlighter (Creamy Peach),4.00638E+12,4.0,1.06,-,-,-,-,4.24,0.0,79.0,Shipped 05/15/2023,80612.0,0.0,BOSS ORIG PASTEL CREAMY PEACH,4.0,4.0,0.0,2.9,63.0,1.07,PE,4.28,E-4006381492386,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777394,0.0,0.010000000000000009
SW70-125,Stabilo Boss Original Pastel Highlighter (Pale Orange),4.00638E+12,6.0,1.06,-,-,-,-,6.36,0.0,80.0,Shipped 05/15/2023,99029.0,0.0,BOSS ORIG PASTEL PALE ORANGE,6.0,6.0,0.0,2.9,63.0,1.07,PE,6.42,E-4006381566025,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.010000000000000009
SW68-41,Stabilo Pen 68 (Dark Blue),4.00638E+12,5.0,0.72,-,-,-,-,3.6,0.0,81.0,Shipped 05/15/2023,729795.0,0.0,STABILO PEN 68 DARK BLUE,5.0,5.0,0.0,2.0,63.0,0.74,PE,3.7,E-4006381333276,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.020000000000000018
SW68-36,Stabilo Pen 68 (Emerald Green),4.00638E+12,10.0,0.72,-,-,-,-,7.2,0.0,82.0,Shipped 05/15/2023,728691.0,0.0,STABILO PEN 68 GREEN,10.0,10.0,0.0,2.0,63.0,0.74,PE,7.4,E-4006381333238,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.020000000000000018
SW68-33,Stabilo Pen 68 (Light Green),4.00638E+12,5.0,0.72,-,-,-,-,3.6,0.0,83.0,Shipped 05/15/2023,727954.0,0.0,STABILO PEN 68 LIGHT GREEN,5.0,5.0,0.0,2.0,63.0,0.74,PE,3.7,E-4006381333221,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.020000000000000018
SW8820,Stabilo Point 88 Set of 20,4.00638E+12,2.0,9.6,-,-,-,-,19.2,0.0,84.0,Shipped 05/15/2023,3902.0,0.0,STABILO POINT 88 WALLET SET 20,2.0,2.0,0.0,26.5,63.0,9.81,SE,19.62,E-4006381292405,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777394,0.0,0.21000000000000085
SW275-4-08-1,Stabilo Swing Cool Highlighter Pastel 4 Color Set,4.00638E+12,4.0,3.56,-,-,-,-,14.24,0.0,86.0,Shipped 05/15/2023,99025.0,0.0,SWING COOL PASTEL WALLT 4PC II,4.0,4.0,0.0,9.75,63.0,3.61,SE,14.44,E-4006381559461,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.04999999999999982
