,Product_PO,SKU_PO,Quantity_PO,Cost_PO,Discounts($)_PO,Discounts(%)_PO,Global Discounts($)_PO,Tax(%)_PO,Total_PO,Notes_PO,Line #_INV,Whse Status_INV,Mac SKU #_INV,Cust Item #_INV,Description_INV,Qty Ord_INV,Qty Shipped_INV,Qty B/O_INV,List Price_INV,Discount %_INV,Net Price_INV,UOM_INV,Ext Price_INV,UPC/EAN_INV,Account #_INV,PO #_INV,Order #_INV,BO #_INV,Invoice #_INV,Box #_INV,Same Qty
TB56604,Tombow Brush Pen Dual Tip Colors (899 Red Wood),85014566049,3.0,1.65,-,-,-,-,4.95,,94.0,Shipped 05/15/2023,28061.0,,ABT DUAL BRSH 899 REDWOOD,3.0,3.0,0.0,3.45,50.0,1.73,PE,5.19,U-085014566049,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,True
TB56643,Tombow Brush Pen Dual Tip Neutrals (N89 Warm Gray 1),85014566438,3.0,1.65,-,-,-,-,4.95,,95.0,Shipped 05/15/2023,89362.0,,ABT DUAL BRSH N89 WM GY 1,3.0,3.0,0.0,3.45,50.0,1.73,PE,5.19,U-085014566438,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,True
TB56167,Tombow Dual Brush 10 Piece Sets (Primary Palette),85014561679,2.0,14.0,-,-,-,-,28.0,,96.0,Shipped 05/15/2023,33574.0,,ABT DUAL BRSH SET 10/PRIMARY,2.0,2.0,0.0,29.49,50.0,14.75,SE,29.5,U-085014561679,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777394,True
TB56189,Tombow Dual Brush 10 Piece Sets (Tropical Palette),85014561891,2.0,14.0,-,-,-,-,28.0,,97.0,Shipped 05/15/2023,87042.0,,ABT DUAL BRSH SET 10/TROPICAL,2.0,2.0,0.0,29.49,50.0,14.75,SE,29.5,U-085014561891,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,True
TB62038,Tombow Fudenosuke Brush Pen Set of 2 Black,85014620383,3.0,3.6,-,-,-,-,10.8,,98.0,Shipped 05/15/2023,80505.0,,FUDENOSUKE BRSH PEN HD&SFT BLK,3.0,3.0,0.0,7.55,50.0,3.78,CD,11.34,U-085014620383,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,True
ZE01210UPC,Zebra Brush Pen Black Fine,45888012103,12.0,1.36,-,-,-,-,16.32,,99.0,Shipped 05/15/2023,88580.0,,BRUSH PEN SNGL FINE BLACK,12.0,12.0,0.0,2.85,50.0,1.43,PE,17.16,U-045888012103,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,True
ZE54012,Zebra M-301 Mechanical Pencils .5mm Black,45888540125,6.0,3.09,-,-,-,-,18.54,,101.0,Shipped 05/15/2023,99646.0,,M-301 MECH PNCL .5MM BLK 2PK,6.0,6.0,0.0,6.48,50.0,3.24,CD,19.44,U-045888540125,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,True
RYWAT12,Watercolor Artist Paint 12 Color Set 12 ml Tubes,90672027818,3.0,3.8,-,-,-,-,11.4,,112.0,Shipped 05/15/2023,11123.0,,WATERCLR ARTST 12ML 12 CLR SET,3.0,3.0,0.0,9.99,62.0,3.8,SE,11.4,U-090672027818,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777394,True
TN95960112,Watercolor Pan Set Angora 14 Color,8.71208E+12,6.0,6.38,-,-,-,-,38.28,,113.0,Shipped 05/15/2023,77522.0,,W/C PAN SET ANGORA 14 COLOR,6.0,6.0,0.0,15.95,64.0,5.74,SE,34.44,E-8712079394660,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,True
RLBTH25-01,Waxed Thread Black 25 Yards,8.70192E+11,3.0,2.55,-,-,-,-,7.65,,114.0,Shipped 05/15/2023,62363.0,,WAXED THREAD 25 YDS. BLACK,3.0,3.0,0.0,5.09,50.0,2.55,CD,7.65,U-870192001891,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777387,True
CN100510924,"XL Recycled Sketch Pad 18"" x 24"" 50 Sheets",3.14896E+12,2.0,11.0,-,-,-,-,22.0,,116.0,Shipped 05/15/2023,26487.0,,XL RECYSKT 18X24  50SH TB(12),2.0,2.0,0.0,27.5,60.0,11.0,PD,22.0,E-3148955725771,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777431,True
MT20833-5,Scissor Multi Purpose 8 Inch,51135208335,8.0,2.13,-,-,-,-,17.04,,118.0,Shipped 05/15/2023,17348.0,,SCISSOR 1428 MULTI PURPOSE 8IN,8.0,8.0,0.0,4.26,50.0,2.13,CD,17.04,U-051135208335,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777387,True
MT00004-1,Scotch Magic Tape,21200000041,12.0,1.91,-,-,-,-,22.92,,119.0,Shipped 05/15/2023,189634.0,,TAPE 119 MAGIC 1/2 X 800IN,12.0,12.0,0.0,3.19,40.0,1.91,RL,22.92,U-021200000041,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,True
CX51-2012,Sidewalk Chalk 12 Pack,71662612122,4.0,1.85,-,-,-,-,7.4,,121.0,Shipped 05/15/2023,55383.0,,SIDEWALK CHALK 12CT,4.0,4.0,0.0,3.7,50.0,1.85,SE,7.4,U-071662612122,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777387,True
CX51-2024,Sidewalk Chalk 24 Piece,71662612245,4.0,3.3,-,-,-,-,13.2,,122.0,Shipped 05/15/2023,55384.0,,SIDEWALK CHALK 24CT,4.0,4.0,0.0,6.6,50.0,3.3,SE,13.2,U-071662612245,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777387,True
SN1172069,Snazaroo Rainbow Face Paint Kit,7.66416E+11,3.0,9.35,-,-,-,-,28.05,,124.0,Shipped 05/15/2023,9343.0,,SNAZAROO RAINBOW KIT,3.0,3.0,0.0,19.69,52.5,9.35,SE,28.05,U-766416101471,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777394,True
KR1311,Spray Matte Finish 11 Ounce,7.24504E+11,3.0,7.77,-,-,-,-,23.31,,127.0,Shipped 05/15/2023,3085.0,,SPRAY MATTE FINISH 11OZ(6),3.0,3.0,0.0,19.43,60.0,7.77,CN,23.31,U-724504013112,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,True
KR1306,Spray Workable Fixatif 11 Ounce,7.24504E+11,4.0,7.91,-,-,-,-,31.64,,128.0,Shipped 05/15/2023,1406.0,,SPRAY WORKABLE FIX 11OZ    (6),4.0,4.0,0.0,19.77,60.0,7.91,CN,31.64,U-724504013068,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,True
GXKBS4,Stencil Film 9 x 12 Blue,96701129607,6.0,2.95,-,-,-,-,17.7,,129.0,Shipped 05/15/2023,252131.0,,STENCIL FILM BLUE 9X12 4/PK,6.0,6.0,0.0,5.89,50.0,2.95,PK,17.7,U-096701229604,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,True
DE2305872,Tinted Charcoal Paint Pan 12 Color Set,5.02825E+11,1.0,21.31,-,-,-,-,21.31,,131.0,Shipped 05/15/2023,101664.0,,TINTED CHARCOAL PNT PAN SET/12,1.0,1.0,0.0,40.99,48.0,21.31,SE,21.31,U-502825262132,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,True
PLS520A,Pentel Sign Pen Fiber Tip (Black),72512100004,12.0,0.98,-,-,-,-,11.76,,135.0,Shipped 05/15/2023,294160.0,,FIBER TIP SIGN PEN BLACK,12.0,12.0,0.0,1.95,50.0,0.98,PE,11.76,U-072512100004,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,True
PLBG202-C,Pentel Slicci .25mm Blue,72512234907,6.0,1.76,-,-,-,-,10.56,,136.0,Shipped 05/15/2023,31768.0,,SLICCI BLUE .25MM,6.0,6.0,0.0,3.25,46.0,1.76,PE,10.56,U-072512234907,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,True
PI46543,Pilot Erasable Highlighter Set of 5,72838465436,7.0,3.98,-,-,-,-,27.86,,137.0,Shipped 05/15/2023,81695.0,,FRIXION LT HGHLTR PASTEL 5/CD,7.0,7.0,0.0,8.37,50.0,4.19,CD,29.33,U-072838465436,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,True
