Product,SKU,Vendor SKU,Quantity,Cost,Discounts($),Discounts(%),Global Discounts($),Tax(%),Total,Notes
Double Ball Stylus Embossing Tool,82435173481,AA17348,3,1.17,-,-,-,-,3.51,
Dye Fixative for Natural Fibers,7.43772E+11,JAJID1301,3,2.55,-,-,-,-,7.65,
Dyeing Pastel Set of 15,72512009291,PLPTS-15,6,2.63,-,-,-,-,15.78,
Early Start Stuff For Painting 5 Piece Set,9.31331E+12,MDEPASTUFF,3,5.5,-,-,-,-,16.5,
Ecco Pigment Pen Black (.3mm),4.0054E+12,FC166399,5,1.45,-,-,-,-,7.25,
Ecoline Watercolor Brush Pen Pastel Set of 5,8.71208E+12,TN11509901,2,10.33,-,-,-,-,20.66,
Egg Chalk 6 Color Set,9.31331E+12,MDM027727,5,3.5,-,-,-,-,17.5,
EMOTT 5 Pen Set (#4),4.90278E+12,UX248310000,6,7,-,-,-,-,42,
Extreme Sheen (24K Gold),7.66218E+11,DPDPM04-30,6,1.53,-,-,-,-,9.18,
Extreme Sheen (Deep Sapphire),7.66218E+11,DPDPM30-30,3,1.54,-,-,-,-,4.62,
Extreme Sheen (Rose Gold),7.66218E+11,DPDPM03-30,4,1.53,-,-,-,-,6.12,
Extreme Sheen (Vintage Brass),7.66218E+11,DPDPM05-30,4,1.54,-,-,-,-,6.16,
24 Gauge Silver Craft Wire 24 Yards,21196035560,CE3556,4,3.35,-,-,-,-,13.4,
Aleene's OK To Wash It 4oz,17754156334,AL15633,4,2,-,-,-,-,8,
Aleene's Tacky Glue Original 8 oz,17754155993,AL15599,4,2.8,-,-,-,-,11.2,
Artist Tape .5 Inch 60 Yards,82435201320,AA20132,3,4.95,-,-,-,-,14.85,
Blending Stumps 3 Pack,90672008534,RYRD88,3,0.95,-,-,-,-,2.85,
Calli-Sumi Brush 1-1/8 inch,31248010759,YOCC1,3,1.96,-,-,-,-,5.88,
Charcoal Peel and Sketch Kit,44974563031,GP5630ABP,3,2.78,-,-,-,-,8.34,
Charcoal Pencils 4 Pack,44974590303,GP59P-BP,4,4.4,-,-,-,-,17.6,
Circle Ruler 12 Inch,79252360019,HX36001,3,2.53,-,-,-,-,7.59,
Clairefontaine Graf It 6 X 8 Sketch Pad 80 Sheets,3.32968E+12,RHC96621,6,3.25,-,-,-,-,19.5,
Clay Das 1.1 Pound White,8.00014E+12,DT387000,12,2.58,-,-,-,-,30.96,
Clay Das 2.2 Pound White,8.00014E+12,DT387500,14,4.98,-,-,-,-,69.72,
Collage Board 15 X 20 White,93924180330,CB1200107-3,15,2.36,-,-,-,-,35.4,
Colored Copper 18 Gauge Craft Wire (Antique Brass),6.56156E+11,BEAWD-182404,2,2.5,-,-,-,-,5,
Compass & Protractor Set,82435271804,AA27180,3,2.11,-,-,-,-,6.33,
Compressed Charcoal White 4 Pack,44974958042,GP958-BP,4,2.39,-,-,-,-,9.56,
Cotman Watercolor Pocket Plus Set,94376954364,WN0390373,3,15.25,-,-,-,-,45.75,
Craft-tastic Mermaid Potions Kit,8.11069E+11,AWCT2103,1,10,-,-,-,-,10,
Golden Heavy Body Acrylic 2 Oz. (Cadmium Red Medium),7.38797E+11,GD1100-2,2,12.35,-,-,-,-,24.7,
Golden Heavy Body Acrylic 2 Oz. (Titanium White),7.38797E+11,GD1380-2,2,5.65,-,-,-,-,11.3,
Golden Heavy Body Acrylic 2 Oz. (Yellow Ochre),7.38797E+11,GD1407-2,2,5.65,-,-,-,-,11.3,
iDye Natural Fabrics (Chestnut),7.43772E+11,JAJID1424,3,2.25,-,-,-,-,6.75,
Lama Li Lokta Paper Hydrangea,7.19723E+11,LA453,15,2.44,-,-,-,-,36.6,
LePen Drawing Black (Brush),28617411309,UC4100S-BRSH,6,1,-,-,-,-,6,
Acrylic Ink 30ML (Iridescent Bright Gold),94376975857,LQ4260234,2,4.23,-,-,-,-,8.46,
Acrylic Ink 30ML (Iridescent Bright Silver),94376975864,LQ4260236,2,4.23,-,-,-,-,8.46,
Acrylic Paint Liquitex Basics 4 Ounce (Burnt Umber),94376922332,LQ1046128,6,4.23,-,-,-,-,25.38,
Acrylic Paint Liquitex Basics 4 Ounce (Cerulean Blue),94376922523,LQ1046470,6,4.23,-,-,-,-,25.38,
Acrylic Paint Liquitex Basics 4 Ounce (Phthalocyanine Green),94376922455,LQ1046317,6,4.23,-,-,-,-,25.38,
Acrylic Paint Liquitex Basics 4 Ounce (Primary Blue),94376931242,LQ1046420,8,4.23,-,-,-,-,33.84,
Liquitex Glazing Medium 8 ounce,94376931594,LQ7508,2,9.18,-,-,-,-,18.36,
Pinata Alcohol Ink (Pearl),7.43772E+11,JAJFC1036,1,1.85,-,-,-,-,1.85,
Pinata Alcohol Ink (Sapphire Blue),7.43772E+11,JAJFC1017,2,1.99,-,-,-,-,3.98,
Pigma Micron Pen 05 .45mm (Black),84511306448,SKXSDK05-49,24,1.67,-,-,-,-,40.08,
Sakura Pigma Calligrapher Pen Assorted 3 Pack,53482503194,SK50319,3,4.84,-,-,-,-,14.52,
Sculpey Premo Accents 2oz. (Opal),7.15892E+11,SYP5109,5,1.5,-,-,-,-,7.5,
Water Based Block Printing Ink 1.3 Ounce (Black),6.51032E+11,SPB3400,4,2.8,-,-,-,-,11.2,
Speedy Carve 9 x 11.75,6.51032E+11,SP4196,3,15.62,-,-,-,-,46.86,
Speedy Carve Stamp Block 3 x 4 inch,6.51032E+11,SP4107,14,2.21,-,-,-,-,30.94,
Speedy Cut Block 4 X 5.5 Inch,6.51032E+11,SP4346,6,2.46,-,-,-,-,14.76,
Sharpie Pen (Blue),71641000506,SA1742664,12,1.5,-,-,-,-,18,
Sharpie Permanent Marker Fine Metallic (Gold),71641054905,SA1823889,7,1.29,-,-,-,-,9.03,
Sharpie Permanent Marker Ultra Fine Point (Orange),71641371262,SA37126,6,0.99,-,-,-,-,5.94,
uni Chalk Marker PWE-8K Broad Chisel (White),4.90278E+12,UX140095000,1,3.28,-,-,-,-,3.28,
Glue Brush (6 Pack),90672000804,RYRD80,6,0.75,-,-,-,-,4.5,
,,,,,,,,,,
Total Quantity,823,,,,,,,,,
SubTotal,"$2,415.57 ",,,,,,,,,
Discounts,$0.00 ,,,,,,,,,
Tax,$0.00 ,,,,,,,,,
Fees,$0.00 ,,,,,,,,,
Freight,$0.00 ,,,,,,,,,
Total,"$2,415.57 ",,,,,,,,,
